0,1,2,3,4,5,6,7,8,9,10
5,1,14,0,28.8,438,262.8,262.8,262.8,262.8,62
5,1,15,0,29.8,713.34,228.834,314.2722797,394.3258555,228.834,61
5,1,16,0,30.4,336,201.6,201.6,201.6,201.6,61
5,1,17,0,30,251,150.6,150.6,150.6,150.6,63
5,1,18,0,29.1,159,95.4,95.4,95.4,95.4,67
5,1,19,0,27.9,57,34.2,34.2,34.2,34.2,71
5,1,20,0,26.6,3,1.8,1.8,1.8,1.8,76
5,1,21,0,25.4,0,0,0,0,0,80
5,1,22,0,24.5,0,0,0,0,0,84
5,1,23,0,24,0,0,0,0,0,87
5,1,0,0,24.2,0,0,0,0,0,86
5,1,1,0,24.5,0,0,0,0,0,87
5,1,2,0,24.6,0,0,0,0,0,88
5,1,3,0,24.5,0,0,0,0,0,89
5,1,4,0,24.1,0,0,0,0,0,90
5,1,5,0,23.5,0,0,0,0,0,90
5,1,6,0,23.3,0,0,0,0,0,89
5,1,7,0,23.3,6.78,162.8784946,49.93698311,2.678,2.678,88
5,1,8,0,23.4,78,46.8,46.8,46.8,46.8,86
5,1,9,0,23.7,259.24,346.2071994,104.3968633,90.424,90.424,83
5,1,10,0,24.4,256,153.6,153.6,153.6,153.6,79
5,1,11,0,25.3,340,204,204,204,204,74
5,1,12,0,26.4,405,243,243,243,243,70
5,1,13,0,27.6,750.96,297.2435755,342.6208169,247.096,247.096,65
5,1,14,0,28.8,438,262.8,262.8,262.8,262.8,62
5,1,15,0,29.8,713.34,228.834,314.2722797,394.3258555,228.834,61
5,1,16,0,30.4,336,201.6,201.6,201.6,201.6,61
5,1,17,0,30,251,150.6,150.6,150.6,150.6,63
5,1,18,0,29.1,159,95.4,95.4,95.4,95.4,67
5,1,19,0,27.9,57,34.2,34.2,34.2,34.2,71
5,1,20,0,26.6,3,1.8,1.8,1.8,1.8,76
5,1,21,0,25.4,0,0,0,0,0,80
5,1,22,0,24.5,0,0,0,0,0,84
5,1,23,0,24,0,0,0,0,0,87
5,1,0,0,24.2,0,0,0,0,0,86
5,1,1,0,24.5,0,0,0,0,0,87
5,1,2,0,24.6,0,0,0,0,0,88
