0,1,2,3,4,5,6,7,8,9,10
1,1,12,0,6.08,209.27,120.33,120.33,120.33,120.33,89.8
1,1,13,0,7,220.12,126.57,126.57,126.57,126.57,87.6
1,1,14,0,8.1,204.17,117.4,117.4,117.4,117.4,85.8
1,1,15,0,9.35,164.77,94.74,94.74,94.74,94.74,84.3
1,1,16,0,10.55,110.09,63.3,63.3,63.3,63.3,83.2
1,1,17,0,11.45,51.07,29.37,29.37,29.37,29.37,82.6
1,1,18,0,11.8,0,0,0,0,0,82.4
1,1,19,0,11.13,0,0,0,0,0,82.4
1,1,20,0,9.8,0,0,0,0,0,82.8
1,1,21,0,8.65,0,0,0,0,0,83.4
1,1,22,0,7.79,0,0,0,0,0,84.3
1,1,23,0,7.18,0,0,0,0,0,85.3
1,1,0,0,6.41,0,0,0,0,0,94.3
1,1,1,0,6.33,0,0,0,0,0,95.6
1,1,2,0,6.1,0,0,0,0,0,96.8
1,1,3,0,5.67,0,0,0,0,0,97.7
1,1,4,0,5.12,0,0,0,0,0,98.5
1,1,5,0,4.58,0,0,0,0,0,99
1,1,6,0,4.17,0,0,0,0,0,99
1,1,7,0,4,0,0,0,0,0,98.7
1,1,8,0,4.1,7.9,4.54,4.54,4.54,4.54,97.6
1,1,9,0,4.36,62.31,35.83,35.83,35.83,35.83,96.2
1,1,10,0,4.77,121.39,69.8,69.8,69.8,69.8,94.2
1,1,11,0,5.34,173.91,100,100,100,100,92.1
1,1,12,0,6.08,209.27,120.33,120.33,120.33,120.33,89.8
1,1,13,0,7,220.12,126.57,126.57,126.57,126.57,87.6
1,1,14,0,8.1,204.17,117.4,117.4,117.4,117.4,85.8
1,1,15,0,9.35,164.77,94.74,94.74,94.74,94.74,84.3
1,1,16,0,10.55,110.09,63.3,63.3,63.3,63.3,83.2
1,1,17,0,11.45,51.07,29.37,29.37,29.37,29.37,82.6
1,1,18,0,11.8,0,0,0,0,0,82.4
1,1,19,0,11.13,0,0,0,0,0,82.4
1,1,20,0,9.8,0,0,0,0,0,82.8
1,1,21,0,8.65,0,0,0,0,0,83.4
1,1,22,0,7.79,0,0,0,0,0,84.3
1,1,23,0,7.18,0,0,0,0,0,85.3
1,1,0,0,6.41,0,0,0,0,0,94.3
1,1,1,0,6.33,0,0,0,0,0,95.6
1,1,2,0,6.1,0,0,0,0,0,96.8
1,1,3,0,5.67,0,0,0,0,0,97.7
1,1,4,0,5.12,0,0,0,0,0,98.5
1,1,5,0,4.58,0,0,0,0,0,99
1,1,6,0,4.17,0,0,0,0,0,99
1,1,7,0,4,0,0,0,0,0,98.7
1,1,8,0,4.1,7.9,4.54,4.54,4.54,4.54,97.6
1,1,9,0,4.36,62.31,35.83,35.83,35.83,35.83,96.2
1,1,10,0,4.77,121.39,69.8,69.8,69.8,69.8,94.2
1,1,11,0,5.34,173.91,100,100,100,100,92.1
1,1,12,0,6.08,209.27,120.33,120.33,120.33,120.33,89.8
1,1,13,0,7,220.12,126.57,126.57,126.57,126.57,87.6
1,1,14,0,8.1,204.17,117.4,117.4,117.4,117.4,85.8
1,1,15,0,9.35,164.77,94.74,94.74,94.74,94.74,84.3
1,1,16,0,10.55,110.09,63.3,63.3,63.3,63.3,83.2
1,1,17,0,11.45,51.07,29.37,29.37,29.37,29.37,82.6
1,1,18,0,11.8,0,0,0,0,0,82.4
1,1,19,0,11.13,0,0,0,0,0,82.4
1,1,20,0,9.8,0,0,0,0,0,82.8
1,1,21,0,8.65,0,0,0,0,0,83.4
1,1,22,0,7.79,0,0,0,0,0,84.3
1,1,23,0,7.18,0,0,0,0,0,85.3
1,2,24,0,6.74,0,0,0,0,0,86
1,2,25,0,6.44,0,0,0,0,0,87.1
1,2,26,0,6.2,0,0,0,0,0,88.3
1,2,27,0,5.98,0,0,0,0,0,89.5
1,2,28,0,5.79,0,0,0,0,0,90.5
1,2,29,0,5.64,0,0,0,0,0,91.1
1,2,30,0,5.54,0,0,0,0,0,91.4
1,2,31,0,5.5,0,0,0,0,0,91.1
1,2,32,0,6.1,7.39,4.25,4.25,4.25,4.25,90.2
1,2,33,0,6.8,57.18,32.88,32.88,32.88,32.88,88.8
